,Make,Model,MSRP,CO2 Emissions(g/km)
188,Hyundai,Veloster,23300,194.66666666666666
189,Nissan,Versa,13990,170.75
190,Rolls-Royce,Wraith,284900,387.5
191,Subaru,WRX,37395,255.5
192,BMW,X5 M,98700,340.25
193,BMW,X6 M,102100,345.3333333333333
194,Scion,xB,16970,226.5
195,Volvo,XC60,51050,258.0
196,Scion,xD,15920,183.0
197,Cadillac,XT5,62500,243.0
198,Cadillac,XTS,64245,260.6666666666667
199,Toyota,Yaris,16820,155.0
200,GMC,Yukon XL,61925,314.0
201,GMC,Yukon,50740,314.0
